"Senator","State","Amount"
"Harris Kamala (D)","","$3763274"
"Biden Joe (D)","","$3496355"
"Obama Barack (D)","","$2989655"
"Clinton Hillary (D-NY)","New York","$2162285"
"Romney Mitt (R-UT)","Utah","$1978725"
"McCain John (R-AZ)","Arizona","$1817431"
"Shelby Richard C (R-AL)","Alabama","$1817156"
"Sanders Bernie (I-VT)","Vermont","$1393314"
"Reed Jack (D-RI)","Rhode Island","$1323489"
"Inhofe James M (R-OK)","Oklahoma","$1277820"
"Wicker Roger (R-MS)","Mississippi","$1268851"
"McConnell Mitch (R-KY)","Kentucky","$1177483"
"Graham Lindsey (R-SC)","South Carolina","$1160334"
"Nelson Bill (D-FL)","Florida","$1139167"
"Kaine Tim (D-VA)","Virginia","$1136399"
"Stevens Ted (R-AK)","Alaska","$1135793"
"Warner Mark (D-VA)","Virginia","$1082727"
"Sessions Jeff (R-AL)","Alabama","$1079117"
"Cochran Thad (R-MS)","Mississippi","$1012836"
"McSally Martha (R-AZ)","Arizona","$1003304"
"Collins Susan M (R-ME)","Maine","$954984"
"Mikulski Barbara A (D-MD)","Maryland","$909685"
"Warner John W (R-VA)","Virginia","$890109"
"Murray Patty (D-WA)","Washington","$848313"
"Cruz Ted (R-TX)","Texas","$828187"
"Durbin Dick (D-IL)","Illinois","$825947"
"Tester Jon (D-MT)","Montana","$814029"
"Schumer Charles E (D-NY)","New York","$812992"
"Inouye Daniel K (D-HI)","Hawaii","$812500"
"Cornyn John (R-TX)","Texas","$804920"
"Kerry John (D-MA)","Massachusetts","$793454"
"Warnock Raphael (D-GA)","Georgia","$789009"
"Britt Katie Boyd (R-AL)","Alabama","$769508"
"Feinstein Dianne (D-CA)","California","$732111"
"Heinrich Martin (D-NM)","New Mexico","$714186"
"Lieberman Joe (D-CT)","Connecticut","$710584"
"Banks Jim (R-IN)","Indiana","$679120"
"Rubio Marco (R-FL)","Florida","$662871"
"Bond Christopher ""Kit"" (R-MO)","Missouri","$648137"
"Schiff Adam (D-CA)","California","$629793"
"Van Hollen Chris (D-MD)","Maryland","$615233"
"Specter Arlen (D-PA)","Pennsylvania","$613749"
"Dodd Chris (D-CT)","Connecticut","$610950"
"Shaheen Jeanne (D-NH)","New Hampshire","$609101"
"Kelly Mark (D-AZ)","Arizona","$589208"
"Perdue David (R-GA)","Georgia","$582525"
"Landrieu Mary L (D-LA)","Louisiana","$575689"
"Chambliss Saxby (R-GA)","Georgia","$573373"
"Casey Bob (D-PA)","Pennsylvania","$572691"
"Allen George (R-VA)","Virginia","$559014"
"Blunt Roy (R-MO)","Missouri","$555710"
"Levin Carl (D-MI)","Michigan","$548606"
"Peters Gary (D-MI)","Michigan","$539857"
"Murkowski Lisa (R-AK)","Alaska","$537734"
"Coats Dan (R-IN)","Indiana","$522922"
"Gallego Ruben (D-AZ)","Arizona","$520440"
"Leahy Patrick (D-VT)","Vermont","$520274"
"Warren Elizabeth (D-MA)","Massachusetts","$494683"
"Domenici Pete V (R-NM)","New Mexico","$494646"
"Fischer Deb (R-NE)","Nebraska","$476369"
"Santorum Rick (R)","","$475950"
"Brown Sherrod (D-OH)","Ohio","$474728"
"Ossoff Jon (D-GA)","Georgia","$470066"
"Reid Harry (D-NV)","Nevada","$468337"
"Scott Tim (R-SC)","South Carolina","$444936"
"Talent James M (R-MO)","Missouri","$442727"
"Kyl Jon (R-AZ)","Arizona","$439705"
"Moran Jerry (R-KS)","Kansas","$435000"
"Duckworth Tammy (D-IL)","Illinois","$410211"
"Udall Mark (D-CO)","Colorado","$409827"
"Ayotte Kelly (R-NH)","New Hampshire","$407420"
"Burr Richard (R-NC)","North Carolina","$406466"
"Brown Scott (R-NH)","New Hampshire","$404714"
"Gillibrand Kirsten (D-NY)","New York","$401744"
"Bingaman Jeff (D-NM)","New Mexico","$386700"
"Hatch Orrin G (R-UT)","Utah","$385939"
"Loeffler Kelly (R-GA)","Georgia","$377241"
"Hirono Mazie K (D-HI)","Hawaii","$371643"
"Thune John (R-SD)","South Dakota","$366992"
"Tuberville Tommy (R-AL)","Alabama","$366305"
"Kirk Mark (R-IL)","Illinois","$358749"
"Manchin Joe (D-WV)","West Virginia","$357820"
"Hutchison Kay Bailey (R-TX)","Texas","$356126"
"Burns Conrad (R-MT)","Montana","$352350"
"Gramm Phil (R-TX)","Texas","$346922"
"Hyde-Smith Cindy (R-MS)","Mississippi","$343015"
"Cardin Ben (D-MD)","Maryland","$342700"
"King Angus (I-ME)","Maine","$339663"
"Sullivan Dan (R-AK)","Alaska","$338794"
"Roberts Pat (R-KS)","Kansas","$326525"
"Ernst Joni (R-IA)","Iowa","$319882"
"Harkin Tom (D-IA)","Iowa","$318881"
"Donnelly Joe (D-IN)","Indiana","$312086"
"Rosen Jacky (D-NV)","Nevada","$310026"
"Young Todd (R-IN)","Indiana","$304265"
"Blackburn Marsha (R-TN)","Tennessee","$303163"
"Jones Doug (D-AL)","Alabama","$302462"
"Alexander Lamar (R-TN)","Tennessee","$298001"
"Baldwin Tammy (D-WI)","Wisconsin","$297045"
"Slotkin Elissa (D-MI)","Michigan","$295785"
"Schatz Brian (D-HI)","Hawaii","$291563"
"Cotton Tom (R-AR)","Arkansas","$289757"
"Hoeven John (R-ND)","North Dakota","$289157"
"Portman Rob (R-OH)","Ohio","$286065"
"Tillis Thom (R-NC)","North Carolina","$285487"
"Sinema Kyrsten (I-AZ)","Arizona","$283270"
"Menendez Robert (I-NJ)","New Jersey","$278601"
"DeWine Mike (R-OH)","Ohio","$277050"
"Boozman John (R-AR)","Arkansas","$276828"
"Kennedy Edward M (D-MA)","Massachusetts","$275575"
"Blumenthal Richard (D-CT)","Connecticut","$273327"
"McCaskill Claire (D-MO)","Missouri","$266259"
"Markey Ed (D-MA)","Massachusetts","$263192"
"Bennett Robert F (R-UT)","Utah","$259950"
"Lautenberg Frank (D-NJ)","New Jersey","$258790"
"Cantwell Maria (D-WA)","Washington","$257096"
"Smith Bob (R-NH)","New Hampshire","$253040"
"Capito Shelley Moore (R-WV)","West Virginia","$252302"
"Gardner Cory (R-CO)","Colorado","$251118"
"Robb Charles S (D-VA)","Virginia","$246450"
"Thurmond Strom (R-SC)","South Carolina","$246200"
"D'Amato Alfonse M (R-NY)","New York","$241864"
"Murphy Christopher S (D-CT)","Connecticut","$238457"
"Daines Steven (R-MT)","Montana","$238026"
"Barrasso John (R-WY)","Wyoming","$236843"
"Byrd Robert C (D-WV)","West Virginia","$235900"
"Vitter David (R-LA)","Louisiana","$235291"
"Lankford James (R-OK)","Oklahoma","$231150"
"Scott Rick (R-FL)","Florida","$228225"
"Lujan Ben Ray (D-NM)","New Mexico","$223612"
"Lugar Richard G (R-IN)","Indiana","$220408"
"Kennedy John (R-LA)","Louisiana","$219293"
"Isakson Johnny (R-GA)","Georgia","$218100"
"Bayh Evan (D-IN)","Indiana","$215490"
"Glenn John (D-OH)","Ohio","$211245"
"Masto Catherine Cortez (D-NV)","Nevada","$209232"
"Stabenow Debbie (D-MI)","Michigan","$206678"
"Snowe Olympia (R-ME)","Maine","$205368"
"Cramer Kevin (R-ND)","North Dakota","$205356"
"Nickles Don (R-OK)","Oklahoma","$205325"
"Nelson Ben (D-NE)","Nebraska","$203975"
"Johnston J Bennett (D-LA)","Louisiana","$203114"
"Gregg Judd (R-NH)","New Hampshire","$201525"
"Torricelli Robert G (D-NJ)","New Jersey","$201050"
"Johnson Ron (R-WI)","Wisconsin","$199619"
"Bennet Michael (D-CO)","Colorado","$199184"
"Dorgan Byron L (D-ND)","North Dakota","$193408"
"Crapo Mike (R-ID)","Idaho","$190300"
"Grassley Chuck (R-IA)","Iowa","$185512"
"Hollings Fritz (D-SC)","South Carolina","$184234"
"Thompson Fred (R)","","$183798"
"Heller Dean (R-NV)","Nevada","$183780"
"Klobuchar Amy (D-MN)","Minnesota","$181840"
"Pryor Mark (D-AR)","Arkansas","$180451"
"Cohen William S (R-ME)","Maine","$180174"
"Dole Elizabeth (R-NC)","North Carolina","$178060"
"Toomey Pat (R-PA)","Pennsylvania","$174177"
"Cassidy Bill (R-LA)","Louisiana","$171788"
"Corker Bob (R-TN)","Tennessee","$166885"
"Sununu John E (R-NH)","New Hampshire","$165381"
"Kerrey Bob (D-NE)","Nebraska","$165070"
"Hassan Maggie (D-NH)","New Hampshire","$163352"
"Allard Wayne (R-CO)","Colorado","$162350"
"Lott Trent (R-MS)","Mississippi","$160683"
"Cleland Max (D-GA)","Georgia","$157244"
"Ensign John (R-NV)","Nevada","$154543"
"Strange Luther (R-AL)","Alabama","$154500"
"Coleman Norm (R-MN)","Minnesota","$154417"
"Dole Bob (R)","","$152390"
"Gore Al (D)","","$149740"
"Mack Connie (R-FL)","Florida","$148751"
"Wyden Ron (D-OR)","Oregon","$148488"
"Baucus Max (D-MT)","Montana","$146075"
"Hagan Kay R (D-NC)","North Carolina","$145602"
"Dixon Alan J (D-IL)","Illinois","$144112"
"Kasten Bob (R-WI)","Wisconsin","$144000"
"Risch James E (R-ID)","Idaho","$143320"
"Carper Tom (D-DE)","Delaware","$142358"
"Sasser Jim (D-TN)","Tennessee","$142225"
"Webb Jim (D)","","$140764"
"Gorton Slade (R-WA)","Washington","$139500"
"Hickenlooper John (D-CO)","Colorado","$138835"
"Coons Chris (D-DE)","Delaware","$138560"
"Heitkamp Heidi (D-ND)","North Dakota","$135613"
"Hawley Josh (R-MO)","Missouri","$131214"
"Hagerty Bill (R-TN)","Tennessee","$129142"
"Rounds Mike (R-SD)","South Dakota","$127457"
"Daschle Tom (D-SD)","South Dakota","$126850"
"Akaka Daniel K (D-HI)","Hawaii","$125600"
"Whitehouse Sheldon (D-RI)","Rhode Island","$124443"
"Bunning Jim (R-KY)","Kentucky","$123900"
"Paul Rand (R-KY)","Kentucky","$122638"
"Lee Mike (R-UT)","Utah","$120338"
"Lincoln Blanche (D-AR)","Arkansas","$119800"
"Exon Jim (D-NE)","Nebraska","$119678"
"Voinovich George V (R-OH)","Ohio","$117180"
"Brownback Sam (R)","","$116890"
"Udall Tom (D-NM)","New Mexico","$116112"
"Alsobrooks Angela (D-MD)","Maryland","$115149"
"Padilla Alex (D-CA)","California","$113141"
"Faircloth Lauch (R-NC)","North Carolina","$111640"
"Ashcroft John (R-MO)","Missouri","$109547"
"Fetterman John (D-PA)","Pennsylvania","$107514"
"Budd Ted (R-NC)","North Carolina","$107313"
"Nunn Sam (D-GA)","Georgia","$105005"
"Mullin Markwayne (R-OK)","Oklahoma","$102818"
"Johnson Tim (D-SD)","South Dakota","$101995"
"Seymour John F (R-CA)","California","$101400"
"Frist Bill (R-TN)","Tennessee","$101320"
"Begich Mark (D-AK)","Alaska","$101250"
"Kim Andy (D-NJ)","New Jersey","$101139"
"Welch Peter (D-VT)","Vermont","$101020"
"Craig Larry (R-ID)","Idaho","$100250"
"Enzi Mike (R-WY)","Wyoming","$97250"
"Abraham Spencer (R-MI)","Michigan","$95093"
"Booker Cory (D-NJ)","New Jersey","$91460"
"Hatfield Mark O (R-OR)","Oregon","$91250"
"Boschwitz Rudy (R-MN)","Minnesota","$91020"
"Conrad Kent (D-ND)","North Dakota","$90500"
"Martinez Mel (R-FL)","Florida","$89686"
"DeMint Jim (R-SC)","South Carolina","$89201"
"Rockefeller Jay (D-WV)","West Virginia","$87800"
"Hutchinson Tim (R-AR)","Arkansas","$85299"
"Sasse Ben (R-NE)","Nebraska","$84410"
"Flake Jeff (R-AZ)","Arizona","$82520"
"Campbell Ben Nighthorse (R-CO)","Colorado","$82500"
"Grams Rod (R-MN)","Minnesota","$82242"
"Murkowski Frank H (R-AK)","Alaska","$81500"
"Coverdell Paul (R-GA)","Georgia","$80650"
"Edwards John (D)","","$80231"
"Graham Bob (D-FL)","Florida","$77550"
"Heflin Howell (D-AL)","Alabama","$77255"
"McCormick Dave (R-PA)","Pennsylvania","$76830"
"Smith Tina (D-MN)","Minnesota","$76789"
"Thomas Craig (R-WY)","Wyoming","$73600"
"Merkley Jeff (D-OR)","Oregon","$73120"
"Sheehy Tim (R-MT)","Montana","$72954"
"Helms Jesse (R-NC)","North Carolina","$70350"
"Hagel Chuck (R-NE)","Nebraska","$67100"
"Chafee Lincoln (L)","","$66900"
"Boxer Barbara (D-CA)","California","$63925"
"Chafee John H (R-RI)","Rhode Island","$60650"
"Bradley Bill (D)","","$59865"
"Rochester Lisa Blunt (D-DE)","Delaware","$57318"
"Moreno Bernie (R-OH)","Ohio","$55152"
"Curtis John (R-UT)","Utah","$55150"
"Brown Hank (R-CO)","Colorado","$54275"
"Wirth Timothy E (D-CO)","Colorado","$54000"
"Smith Gordon H (R-OR)","Oregon","$52675"
