"Senator","State","Amount"
"Biden Joe (D)","","$63927288"
"Harris Kamala (D)","","$61399535"
"Obama Barack (D)","","$54439006"
"Clinton Hillary (D-NY)","New York","$39760783"
"Romney Mitt (R-UT)","Utah","$28244530"
"Sanders Bernie (I-VT)","Vermont","$20425778"
"Warnock Raphael (D-GA)","Georgia","$13848962"
"McCain John (R-AZ)","Arizona","$12401307"
"Kerry John (D-MA)","Massachusetts","$10547177"
"Brown Sherrod (D-OH)","Ohio","$10360684"
"McConnell Mitch (R-KY)","Kentucky","$10212213"
"Warren Elizabeth (D-MA)","Massachusetts","$9515875"
"Ossoff Jon (D-GA)","Georgia","$8996196"
"Casey Bob (D-PA)","Pennsylvania","$8131960"
"Kelly Mark (D-AZ)","Arizona","$8090776"
"Cruz Ted (R-TX)","Texas","$8069002"
"Schumer Charles E (D-NY)","New York","$7790391"
"Cassidy Bill (R-LA)","Louisiana","$7146546"
"Cornyn John (R-TX)","Texas","$6729479"
"Tester Jon (D-MT)","Montana","$6244816"
"Wyden Ron (D-OR)","Oregon","$6056159"
"Hatch Orrin G (R-UT)","Utah","$6017711"
"Graham Lindsey (R-SC)","South Carolina","$5635032"
"Menendez Robert (I-NJ)","New Jersey","$5615665"
"Baldwin Tammy (D-WI)","Wisconsin","$5321201"
"Rubio Marco (R-FL)","Florida","$5304290"
"Blackburn Marsha (R-TN)","Tennessee","$5193138"
"Perdue David (R-GA)","Georgia","$4981595"
"Specter Arlen (D-PA)","Pennsylvania","$4964788"
"Burr Richard (R-NC)","North Carolina","$4959058"
"Peters Gary (D-MI)","Michigan","$4900982"
"Klobuchar Amy (D-MN)","Minnesota","$4841757"
"Murray Patty (D-WA)","Washington","$4810865"
"Schiff Adam (D-CA)","California","$4504884"
"Blunt Roy (R-MO)","Missouri","$4460808"
"Nelson Bill (D-FL)","Florida","$4443594"
"Grassley Chuck (R-IA)","Iowa","$4320181"
"Stabenow Debbie (D-MI)","Michigan","$4309397"
"Scott Tim (R-SC)","South Carolina","$3910927"
"Baucus Max (D-MT)","Montana","$3856564"
"Santorum Rick (R)","","$3835018"
"McCaskill Claire (D-MO)","Missouri","$3794696"
"Loeffler Kelly (R-GA)","Georgia","$3723605"
"Barrasso John (R-WY)","Wyoming","$3714357"
"Young Todd (R-IN)","Indiana","$3693749"
"Rosen Jacky (D-NV)","Nevada","$3655374"
"Masto Catherine Cortez (D-NV)","Nevada","$3558792"
"Reid Harry (D-NV)","Nevada","$3558037"
"Collins Susan M (R-ME)","Maine","$3553711"
"Harkin Tom (D-IA)","Iowa","$3474788"
"Alexander Lamar (R-TN)","Tennessee","$3464341"
"Booker Cory (D-NJ)","New Jersey","$3377313"
"Thune John (R-SD)","South Dakota","$3353810"
"Portman Rob (R-OH)","Ohio","$3351622"
"Toomey Pat (R-PA)","Pennsylvania","$3346730"
"McSally Martha (R-AZ)","Arizona","$3333613"
"Cardin Ben (D-MD)","Maryland","$3316216"
"Bennet Michael (D-CO)","Colorado","$3267451"
"Warner Mark (D-VA)","Virginia","$3224402"
"Kirk Mark (R-IL)","Illinois","$3209209"
"Paul Rand (R-KY)","Kentucky","$3182065"
"Gallego Ruben (D-AZ)","Arizona","$3058076"
"Tillis Thom (R-NC)","North Carolina","$3051301"
"Kaine Tim (D-VA)","Virginia","$3043354"
"Jones Doug (D-AL)","Alabama","$3040974"
"Gillibrand Kirsten (D-NY)","New York","$3002167"
"Murphy Christopher S (D-CT)","Connecticut","$2992345"
"Durbin Dick (D-IL)","Illinois","$2988457"
"Sinema Kyrsten (I-AZ)","Arizona","$2863193"
"Slotkin Elissa (D-MI)","Michigan","$2839306"
"Hassan Maggie (D-NH)","New Hampshire","$2815804"
"Van Hollen Chris (D-MD)","Maryland","$2734715"
"Crapo Mike (R-ID)","Idaho","$2702574"
"Lieberman Joe (D-CT)","Connecticut","$2695621"
"Brown Scott (R-NH)","New Hampshire","$2647572"
"Corker Bob (R-TN)","Tennessee","$2624943"
"Isakson Johnny (R-GA)","Georgia","$2594860"
"Feinstein Dianne (D-CA)","California","$2535417"
"Johnson Ron (R-WI)","Wisconsin","$2526424"
"Feingold Russ (D-WI)","Wisconsin","$2518199"
"Kennedy John (R-LA)","Louisiana","$2491514"
"Fetterman John (D-PA)","Pennsylvania","$2473097"
"Lincoln Blanche (D-AR)","Arkansas","$2436024"
"Gramm Phil (R-TX)","Texas","$2332885"
"Wicker Roger (R-MS)","Mississippi","$2307431"
"Kyl Jon (R-AZ)","Arizona","$2300581"
"Frist Bill (R-TN)","Tennessee","$2260101"
"Hickenlooper John (D-CO)","Colorado","$2242569"
"Kennedy Edward M (D-MA)","Massachusetts","$2241166"
"Landrieu Mary L (D-LA)","Louisiana","$2223922"
"Shaheen Jeanne (D-NH)","New Hampshire","$2210083"
"Capito Shelley Moore (R-WV)","West Virginia","$2208266"
"Gardner Cory (R-CO)","Colorado","$2194471"
"Heitkamp Heidi (D-ND)","North Dakota","$2185319"
"Roberts Pat (R-KS)","Kansas","$2127054"
"Heinrich Martin (D-NM)","New Mexico","$2090371"
"Cantwell Maria (D-WA)","Washington","$2046297"
"Markey Ed (D-MA)","Massachusetts","$2003869"
"Daines Steven (R-MT)","Montana","$1956558"
"Dodd Chris (D-CT)","Connecticut","$1954414"
"Duckworth Tammy (D-IL)","Illinois","$1946715"
"Talent James M (R-MO)","Missouri","$1932600"
