"Representative","State","Amount"
"McCarthy Kevin (R-CA)","California","$3202404"
"Scalise Steve (R-LA)","Louisiana","$2698605"
"Inhofe James M (R-OK)","Oklahoma","$2366485"
"Pearce Steve (R-NM)","New Mexico","$2351779"
"Barton Joe (R-TX)","Texas","$2244837"
"Gardner Cory (R-CO)","Colorado","$2142182"
"Brady Kevin (R-TX)","Texas","$2133886"
"Pfluger August (R-TX)","Texas","$2011278"
"Cassidy Bill (R-LA)","Louisiana","$1902098"
"Lankford James (R-OK)","Oklahoma","$1842061"
"Boehner John (R-OH)","Ohio","$1828805"
"Ryan Paul (R-WI)","Wisconsin","$1751478"
"Cramer Kevin (R-ND)","North Dakota","$1748845"
"Conaway Mike (R-TX)","Texas","$1659040"
"Sessions Pete (R-TX)","Texas","$1606280"
"Cuellar Henry (D-TX)","Texas","$1593852"
"Boustany Charles Jr (R-LA)","Louisiana","$1540827"
"Young Don (R-AK)","Alaska","$1489340"
"Cole Tom (R-OK)","Oklahoma","$1433585"
"Vitter David (R-LA)","Louisiana","$1425207"
"Daines Steven (R-MT)","Montana","$1363661"
"Williams Roger (R-TX)","Texas","$1362105"
"Mullin Markwayne (R-OK)","Oklahoma","$1329331"
"Wicker Roger (R-MS)","Mississippi","$1318322"
"Granger Kay (R-TX)","Texas","$1290317"
"Hunt Wesley (R-TX)","Texas","$1254200"
"Olson Pete (R-TX)","Texas","$1251761"
"Upton Fred (R-MI)","Michigan","$1239600"
"Crenshaw Dan (R-TX)","Texas","$1233637"
"Blunt Roy (R-MO)","Missouri","$1230109"
"Pompeo Mike (R-KS)","Kansas","$1224029"
"Coffman Mike (R-CO)","Colorado","$1213798"
"Flores Bill (R-TX)","Texas","$1210573"
"Capito Shelley Moore (R-WV)","West Virginia","$1188427"
"Rodgers Cathy McMorris (R-WA)","Washington","$1188251"
"Thune John (R-SD)","South Dakota","$1181503"
"Blackburn Marsha (R-TN)","Tennessee","$1151017"
"Culberson John (R-TX)","Texas","$1141189"
"Portman Rob (R-OH)","Ohio","$1125756"
"Toomey Pat (R-PA)","Pennsylvania","$1114492"
"Cotton Tom (R-AR)","Arkansas","$1072465"
"McSally Martha (R-AZ)","Arizona","$1064424"
"McCaul Michael (R-TX)","Texas","$1043052"
"Hurd Will (R)","","$1036935"
"Scott Tim (R-SC)","South Carolina","$1034428"
"Graves Garret (R-LA)","Louisiana","$1033412"
"Wilson Heather A (R-NM)","New Mexico","$1021297"
"Lucas Frank D (R-OK)","Oklahoma","$1011900"
"Zinke Ryan (R-MT)","Montana","$953693"
"Fletcher Lizzie (D-TX)","Texas","$944688"
"Gonzales Tony (R-TX)","Texas","$941537"
"Rehberg Denny (R-MT)","Montana","$937824"
"Burr Richard (R-NC)","North Carolina","$930691"
"Graham Lindsey (R-SC)","South Carolina","$923099"
"Sullivan John (R-OK)","Oklahoma","$909900"
"Shimkus John (R-IL)","Illinois","$902713"
"Walden Greg (R-OR)","Oregon","$899033"
"Moran Jerry (R-KS)","Kansas","$889055"
"Johnson Bill (R-OH)","Ohio","$888062"
"Roberts Pat (R-KS)","Kansas","$885550"
"Fleming John (R-LA)","Louisiana","$852000"
"O'Rourke Beto (D)","","$850926"
"Johnson Mike (R-LA)","Louisiana","$831852"
"Young Todd (R-IN)","Indiana","$829499"
"Smith Lamar (R-TX)","Texas","$817747"
"Thornberry Mac (R-TX)","Texas","$817055"
"Costa Jim (D-CA)","California","$816459"
"Allen George (R-VA)","Virginia","$813391"
"Westerman Bruce (R-AR)","Arkansas","$811837"
"Santorum Rick (R)","","$811081"
"Herrell Yvette (R-NM)","New Mexico","$809415"
"Lincoln Blanche (D-AR)","Arkansas","$803344"
"Berg Rick (R-ND)","North Dakota","$784137"
"DeLay Tom (R-TX)","Texas","$762627"
"Tipton Scott (R-CO)","Colorado","$759549"
"Green Gene (D-TX)","Texas","$755063"
"Armstrong Kelly (R-ND)","North Dakota","$752461"
