"Representative","State","Amount"
"Sanders Bernie (I-VT)","Vermont","$23961943"
"Schumer Charles E (D-NY)","New York","$8393743"
"Brown Sherrod (D-OH)","Ohio","$5891410"
"O'Rourke Beto (D)","","$5847755"
"Schiff Adam (D-CA)","California","$5835244"
"Markey Ed (D-MA)","Massachusetts","$5344294"
"Gillibrand Kirsten (D-NY)","New York","$5342985"
"Rosen Jacky (D-NV)","Nevada","$4789282"
"Boxer Barbara (D-CA)","California","$4628649"
"Pelosi Nancy (D-CA)","California","$4417556"
"Peters Gary (D-MI)","Michigan","$4350528"
"Baldwin Tammy (D-WI)","Wisconsin","$4124803"
"Khanna Ro (D-CA)","California","$4070314"
"Cantwell Maria (D-WA)","Washington","$3863060"
"Nelson Bill (D-FL)","Florida","$3758213"
"Slotkin Elissa (D-MI)","Michigan","$3568269"
"Eshoo Anna (D-CA)","California","$3434891"
"Lofgren Zoe (D-CA)","California","$3369308"
"Allred Colin (D-TX)","Texas","$3356282"
"Porter Katie (D-CA)","California","$3235788"
"McCarthy Kevin (R-CA)","California","$3159142"
"Berman Howard L (D-CA)","California","$3083073"
"Walden Greg (R-OR)","Oregon","$3052730"
"Ocasio-Cortez Alexandria (D-NY)","New York","$2984347"
"Wyden Ron (D-OR)","Oregon","$2947888"
"Pallone Frank Jr (D-NJ)","New Jersey","$2899806"
"Graham Lindsey (R-SC)","South Carolina","$2808114"
"Upton Fred (R-MI)","Michigan","$2800368"
"Paul Ron (R)","","$2797823"
"Gallego Ruben (D-AZ)","Arizona","$2778814"
"Jeffries Hakeem (D-NY)","New York","$2694569"
"Scalise Steve (R-LA)","Louisiana","$2680328"
"Thune John (R-SD)","South Dakota","$2639650"
"Blackburn Marsha (R-TN)","Tennessee","$2603828"
"Harder Josh (D-CA)","California","$2491757"
"Hoyer Steny H (D-MD)","Maryland","$2476730"
"Boehner John (R-OH)","Ohio","$2385967"
"Menendez Robert (I-NJ)","New Jersey","$2377936"
"Gephardt Richard A (D)","","$2372172"
"Murphy Christopher S (D-CT)","Connecticut","$2362750"
"Blunt Roy (R-MO)","Missouri","$2300560"
"Rodgers Cathy McMorris (R-WA)","Washington","$2268750"
"Goodlatte Bob (R-VA)","Virginia","$2249683"
"DelBene Suzan (D-WA)","Washington","$2240367"
"Ryan Tim (D-OH)","Ohio","$2234687"
"Dingell John D (D-MI)","Michigan","$2221600"
"Demings Val (D-FL)","Florida","$2193913"
"Clyburn James E (D-SC)","South Carolina","$2172477"
"Nadler Jerrold (D-NY)","New York","$2156951"
"Schrier Kim (D-WA)","Washington","$2152168"
"Udall Mark (D-CO)","Colorado","$2134167"
"Sinema Kyrsten (I-AZ)","Arizona","$2084456"
"Gottheimer Josh (D-NJ)","New Jersey","$2055025"
"Wicker Roger (R-MS)","Mississippi","$1955081"
"Mucarsel-Powell Debbie (D-FL)","Florida","$1943662"
"Issa Darrell (R-CA)","California","$1882034"
"Connolly Gerry (D-VA)","Virginia","$1863442"
"Allen George (R-VA)","Virginia","$1836176"
"Durbin Dick (D-IL)","Illinois","$1830967"
"Smith Lamar (R-TX)","Texas","$1773070"
"Barton Joe (R-TX)","Texas","$1763265"
"Boucher Rick (D-VA)","Virginia","$1751857"
"Santorum Rick (R)","","$1751572"
"Kim Andy (D-NJ)","New Jersey","$1751207"
"Stabenow Debbie (D-MI)","Michigan","$1745192"
"Gardner Cory (R-CO)","Colorado","$1726385"
"Conyers John Jr (D-MI)","Michigan","$1723335"
"Ryan Paul (R-WI)","Wisconsin","$1718218"
"Matsui Doris (D-CA)","California","$1714786"
"Portman Rob (R-OH)","Ohio","$1666362"
"Latta Bob (R-OH)","Ohio","$1661142"
"McCaul Michael (R-TX)","Texas","$1649103"
"Delgado Antonio (D-NY)","New York","$1641899"
"Van Hollen Chris (D-MD)","Maryland","$1600398"
"Cantor Eric (R-VA)","Virginia","$1586330"
"Swalwell Eric (D-CA)","California","$1577108"
"Golden Jared (D-ME)","Maine","$1557661"
"McSally Martha (R-AZ)","Arizona","$1546394"
"Shimkus John (R-IL)","Illinois","$1530767"
"Duckworth Tammy (D-IL)","Illinois","$1522729"
