"Senator","State","Amount"
"Harris Kamala (D)","","$64638648"
"Obama Barack (D)","","$62366939"
"Biden Joe (D)","","$60425965"
"Clinton Hillary (D-NY)","New York","$47308953"
"Sanders Bernie (I-VT)","Vermont","$23961943"
"Warnock Raphael (D-GA)","Georgia","$17400299"
"Kerry John (D-MA)","Massachusetts","$14843977"
"Ossoff Jon (D-GA)","Georgia","$12226346"
"Romney Mitt (R-UT)","Utah","$12203218"
"Warren Elizabeth (D-MA)","Massachusetts","$12148933"
"McCain John (R-AZ)","Arizona","$9256088"
"Kelly Mark (D-AZ)","Arizona","$8931094"
"Schumer Charles E (D-NY)","New York","$8393743"
"Tester Jon (D-MT)","Montana","$6260790"
"Brown Sherrod (D-OH)","Ohio","$5891410"
"Schiff Adam (D-CA)","California","$5835244"
"Markey Ed (D-MA)","Massachusetts","$5344294"
"Gillibrand Kirsten (D-NY)","New York","$5342985"
"Booker Cory (D-NJ)","New Jersey","$4920557"
"Rosen Jacky (D-NV)","Nevada","$4789282"
"Casey Bob (D-PA)","Pennsylvania","$4779729"
"Boxer Barbara (D-CA)","California","$4628649"
"Klobuchar Amy (D-MN)","Minnesota","$4472461"
"Peters Gary (D-MI)","Michigan","$4350528"
"Jones Doug (D-AL)","Alabama","$4256245"
"Baldwin Tammy (D-WI)","Wisconsin","$4124803"
"McCaskill Claire (D-MO)","Missouri","$4103545"
"Warner Mark (D-VA)","Virginia","$4060128"
"Feinstein Dianne (D-CA)","California","$4034722"
"Bennet Michael (D-CO)","Colorado","$3893922"
"McConnell Mitch (R-KY)","Kentucky","$3872039"
"Cantwell Maria (D-WA)","Washington","$3863060"
"Nelson Bill (D-FL)","Florida","$3758213"
"Hickenlooper John (D-CO)","Colorado","$3670263"
"Cruz Ted (R-TX)","Texas","$3592310"
"Slotkin Elissa (D-MI)","Michigan","$3568269"
"Murray Patty (D-WA)","Washington","$3542765"
"Masto Catherine Cortez (D-NV)","Nevada","$3474963"
"Kaine Tim (D-VA)","Virginia","$3317108"
"Franken Al (D-MN)","Minnesota","$3110596"
"Gore Al (D)","","$3052270"
"Rubio Marco (R-FL)","Florida","$2969835"
