"Representative","State","Amount"
"Murtha John P (D-PA)","Pennsylvania","$3186299"
"Rogers Mike D (R-AL)","Alabama","$2708923"
"Calvert Ken (R-CA)","California","$2490802"
"Granger Kay (R-TX)","Texas","$2486543"
"Wittman Rob (R-VA)","Virginia","$2268110"
"Moran Jim (D-VA)","Virginia","$2137464"
"Smith Adam (D-WA)","Washington","$2126120"
"Aderholt Robert B (R-AL)","Alabama","$1987202"
"Turner Michael R (R-OH)","Ohio","$1942998"
"Visclosky Pete (D-IN)","Indiana","$1885007"
"Thornberry Mac (R-TX)","Texas","$1673866"
"Hoyer Steny H (D-MD)","Maryland","$1669874"
"Skelton Ike (D-MO)","Missouri","$1642059"
"Ruppersberger Dutch (D-MD)","Maryland","$1637039"
"Hunter Duncan (R)","","$1624236"
"McKeon Buck (R-CA)","California","$1593700"
"Frelinghuysen Rodney (R-NJ)","New Jersey","$1543456"
"Young C W Bill (R-FL)","Florida","$1535585"
"Sanders Bernie (I-VT)","Vermont","$1393314"
"Reed Jack (D-RI)","Rhode Island","$1323489"
"Courtney Joe (D-CT)","Connecticut","$1317652"
"Rogers Hal (R-KY)","Kentucky","$1299065"
"Inhofe James M (R-OK)","Oklahoma","$1277820"
"Wicker Roger (R-MS)","Mississippi","$1268851"
"Lewis Jerry (R-CA)","California","$1205526"
"Connolly Gerry (D-VA)","Virginia","$1192694"
"Wilson Joe (R-SC)","South Carolina","$1171481"
"Graham Lindsey (R-SC)","South Carolina","$1160334"
"Nelson Bill (D-FL)","Florida","$1139167"
"Dicks Norm (D-WA)","Washington","$1138230"
"Cole Tom (R-OK)","Oklahoma","$1106675"
"Carter John (R-TX)","Texas","$1093649"
"Langevin Jim (D-RI)","Rhode Island","$1035875"
"Weldon Curt (R-PA)","Pennsylvania","$1032830"
"Scalise Steve (R-LA)","Louisiana","$1030660"
"Forbes Randy (R-VA)","Virginia","$1017951"
"McSally Martha (R-AZ)","Arizona","$1003304"
"Cunningham Randy (Duke) (R-CA)","California","$981489"
"Davis Tom (R-VA)","Virginia","$951656"
"Hunter Duncan D (R-CA)","California","$927592"
"Brooks Mo (R-AL)","Alabama","$919748"
"Lamborn Doug (R-CO)","Colorado","$907247"
"Diaz-Balart Mario (R-FL)","Florida","$887850"
"Larson John (D-CT)","Connecticut","$838585"
"Harman Jane (D-CA)","California","$829433"
"Durbin Dick (D-IL)","Illinois","$825947"
"Schumer Charles E (D-NY)","New York","$812992"
"Reyes Silvestre (D-TX)","Texas","$796595"
"Spratt John M Jr (D-SC)","South Carolina","$794183"
"Edwards Chet (D-TX)","Texas","$791748"
"Kaptur Marcy (D-OH)","Ohio","$788119"
"Larsen Rick (D-WA)","Washington","$784834"
"Cramer Bud (D-AL)","Alabama","$768626"
"McCarthy Kevin (R-CA)","California","$764966"
"McCollum Betty (D-MN)","Minnesota","$743280"
"Aguilar Pete (D-CA)","California","$743126"
"Mollohan Alan B (D-WV)","West Virginia","$729549"
"Thompson Bennie G (D-MS)","Mississippi","$722805"
"Wilson Heather A (R-NM)","New Mexico","$718902"
"Heinrich Martin (D-NM)","New Mexico","$714186"
"Saxton Jim (R-NJ)","New Jersey","$713984"
"McCaul Michael (R-TX)","Texas","$706170"
"Palazzo Steven (R-MS)","Mississippi","$702704"
"Bonilla Henry (R-TX)","Texas","$693254"
"Davis Susan (D-CA)","California","$692150"
"LoBiondo Frank (R-NJ)","New Jersey","$691095"
"Sanchez Loretta (D-CA)","California","$683755"
"Stefanik Elise (R-NY)","New York","$683051"
"DeLauro Rosa (D-CT)","Connecticut","$681555"
"Wolf Frank (R-VA)","Virginia","$681060"
"Israel Steve (D-NY)","New York","$679415"
"Banks Jim (R-IN)","Indiana","$679120"
"Waltz Michael (R-FL)","Florida","$650769"
"Peters Scott (D-CA)","California","$644865"
"Norcross Don (D-NJ)","New Jersey","$638955"
"Beyer Don (D-VA)","Virginia","$634354"
"Schiff Adam (D-CA)","California","$629793"
"Crenshaw Ander (R-FL)","Florida","$627172"
"Miller Jeff (R-FL)","Florida","$616400"
"Van Hollen Chris (D-MD)","Maryland","$615233"
"Womack Steve (R-AR)","Arkansas","$611976"
"Kingston Jack (R-GA)","Georgia","$609900"
"Kelly Trent (R-MS)","Mississippi","$609354"
"Andrews Robert E (D-NJ)","New Jersey","$602688"
"Strong Dale (R-AL)","Alabama","$602600"
"Issa Darrell (R-CA)","California","$599086"
"Everett Terry (R-AL)","Alabama","$597525"
"Clyburn James E (D-SC)","South Carolina","$589966"
"Ryan Tim (D-OH)","Ohio","$588620"
"Posey Bill (R-FL)","Florida","$588525"
"Graves Sam (R-MO)","Missouri","$581100"
"Chambliss Saxby (R-GA)","Georgia","$573373"
"Sessions Pete (R-TX)","Texas","$566759"
"Allen George (R-VA)","Virginia","$559014"
"Blunt Roy (R-MO)","Missouri","$555710"
"Bartlett Roscoe G (R-MD)","Maryland","$552115"
"Boehner John (R-OH)","Ohio","$548626"
"Akin Todd (R-MO)","Missouri","$543430"
"Kilmer Derek (D-WA)","Washington","$542512"
"Hobson Dave (R-OH)","Ohio","$541200"
"Peters Gary (D-MI)","Michigan","$539857"
"Roby Martha (R-AL)","Alabama","$539500"
"Byrne Bradley (R-AL)","Alabama","$534908"
"Veasey Marc (D-TX)","Texas","$534789"
"Bishop Sanford (D-GA)","Georgia","$522416"
"Ortiz Solomon P (D-TX)","Texas","$520835"
"Gallego Ruben (D-AZ)","Arizona","$520440"
"Tiahrt Todd (R-KS)","Kansas","$519370"
"Hartzler Vicky (R-MO)","Missouri","$515004"
"Pelosi Nancy (D-CA)","California","$510829"
"King Pete (R-NY)","New York","$510403"
"Neal Richard E (D-MA)","Massachusetts","$507350"
"Cuellar Henry (D-TX)","Texas","$507050"
"Simpson Mike (R-ID)","Idaho","$506200"
"Price David (D-NC)","North Carolina","$502765"
"Bacon Donald John (R-NE)","Nebraska","$501383"
"Sestak Joe (D)","","$492793"
"Wilson Charles (D-TX)","Texas","$477900"
"Santorum Rick (R)","","$475950"
"Cantor Eric (R-VA)","Virginia","$475401"
"Brown Sherrod (D-OH)","Ohio","$474728"
"Johnson Sam (R-TX)","Texas","$472892"
"Stewart Chris (R-UT)","Utah","$472865"
"Gallagher Mike (R-WI)","Wisconsin","$468243"
"Shuster Bill (R-PA)","Pennsylvania","$461250"
"Rutherford John (R-FL)","Florida","$459600"
"Kennedy Patrick J (D-RI)","Rhode Island","$458276"
"Nunes Devin (R-CA)","California","$456129"
"Spence Floyd D (R-SC)","South Carolina","$452551"
"Ryan Paul (R-WI)","Wisconsin","$451659"
"Kline John (R-MN)","Minnesota","$450548"
"Scott Austin (R-GA)","Georgia","$449986"
"Fleischmann Chuck (R-TN)","Tennessee","$445800"
"Bergman John (R-MI)","Michigan","$445471"
"Scott Tim (R-SC)","South Carolina","$444936"
"Talent James M (R-MO)","Missouri","$442727"
"Jones Walter B Jr (R-NC)","North Carolina","$441140"
"Cooper Jim (D-TN)","Tennessee","$440150"
"Kyl Jon (R-AZ)","Arizona","$439705"
"Rogers Mike (R-MI)","Michigan","$439311"
"Moran Jerry (R-KS)","Kansas","$435000"
"Taylor Gene (R-MS)","Mississippi","$430820"
"Sewell Terri (D-AL)","Alabama","$430810"
"Coffman Mike (R-CO)","Colorado","$428375"
"Paul Ron (R)","","$425685"
"Rodgers Cathy McMorris (R-WA)","Washington","$419788"
"Culberson John (R-TX)","Texas","$413345"
"Franks Trent (R-AZ)","Arizona","$410734"
"Duckworth Tammy (D-IL)","Illinois","$410211"
"Udall Mark (D-CO)","Colorado","$409827"
"Burr Richard (R-NC)","North Carolina","$406466"
"Bilbray Brian P (R-CA)","California","$403600"
"Gillibrand Kirsten (D-NY)","New York","$401744"
"Garamendi John (D-CA)","California","$400270"
"Sherrill Mikie (D-NJ)","New Jersey","$393569"
"Walorski Jackie (R-IN)","Indiana","$391752"
"Cartwright Matt (D-PA)","Pennsylvania","$390420"
"Tsongas Niki (D-MA)","Massachusetts","$390057"
"Garcia Mike (R-CA)","California","$384777"
"McCurdy Dave (D-OK)","Oklahoma","$384445"
"Bateman Herbert H (R-VA)","Virginia","$382400"
"Hirono Mazie K (D-HI)","Hawaii","$371643"
"Abercrombie Neil (D-HI)","Hawaii","$371391"
"Lowey Nita M (D-NY)","New York","$370600"
"Conaway Mike (R-TX)","Texas","$370550"
"Livingston Robert L (R-LA)","Louisiana","$367150"
"Thune John (R-SD)","South Dakota","$366992"
"Critz Mark (D-PA)","Pennsylvania","$366543"
"Moulton Seth (D-MA)","Massachusetts","$366147"
"Heck Joe (R-NV)","Nevada","$362802"
"Rigell Scott (R-VA)","Virginia","$360599"
"Barton Joe (R-TX)","Texas","$359565"
"Pascrell Bill Jr (D-NJ)","New Jersey","$359485"
"Kirk Mark (R-IL)","Illinois","$358749"
"Frost Martin (D-TX)","Texas","$356200"
"McDade Joseph M (R-PA)","Pennsylvania","$355799"
"Pastor Ed (D-AZ)","Arizona","$351347"
"Mica John L (R-FL)","Florida","$349854"
"Johnson Mike (R-LA)","Louisiana","$348056"
"Comstock Barbara (R-VA)","Virginia","$346292"
"Cardin Ben (D-MD)","Maryland","$342700"
"Brown Anthony (D-MD)","Maryland","$341766"
"Hudson Richard (R-NC)","North Carolina","$340643"
"Weldon Dave (R-FL)","Florida","$340270"
"Aspin Les (D-WI)","Wisconsin","$333810"
