"Representative","State","Amount"
"Schumer Charles E (D-NY)","New York","$38788107"
"McCarthy Kevin (R-CA)","California","$16346862"
"Brown Sherrod (D-OH)","Ohio","$14214425"
"Gillibrand Kirsten (D-NY)","New York","$14012534"
"Graham Lindsey (R-SC)","South Carolina","$13525353"
"Scott Tim (R-SC)","South Carolina","$13477785"
"Gottheimer Josh (D-NJ)","New Jersey","$13042086"
"Portman Rob (R-OH)","Ohio","$12951509"
"Boehner John (R-OH)","Ohio","$12892012"
"Menendez Robert (I-NJ)","New Jersey","$12583965"
"Ryan Paul (R-WI)","Wisconsin","$12370656"
"Sanders Bernie (I-VT)","Vermont","$11824140"
"Toomey Pat (R-PA)","Pennsylvania","$11289112"
"McHenry Patrick (R-NC)","North Carolina","$11236490"
"Scalise Steve (R-LA)","Louisiana","$10864301"
"McSally Martha (R-AZ)","Arizona","$10804425"
"Sinema Kyrsten (I-AZ)","Arizona","$10310290"
"Peters Gary (D-MI)","Michigan","$10245828"
"Thune John (R-SD)","South Dakota","$9990802"
"Wyden Ron (D-OR)","Oregon","$9799755"
"Kirk Mark (R-IL)","Illinois","$9711670"
"Nelson Bill (D-FL)","Florida","$9526042"
"Barr Andy (R-KY)","Kentucky","$9425810"
"Himes Jim (D-CT)","Connecticut","$9390400"
"Neal Richard E (D-MA)","Massachusetts","$9355261"
"Hoyer Steny H (D-MD)","Maryland","$9348996"
"Cantor Eric (R-VA)","Virginia","$9183441"
"Maloney Carolyn (D-NY)","New York","$8711887"
"Blunt Roy (R-MO)","Missouri","$8573010"
"Khanna Ro (D-CA)","California","$8376257"
"Slotkin Elissa (D-MI)","Michigan","$8335769"
"Young Todd (R-IN)","Indiana","$8277349"
"James John (R-MI)","Michigan","$8203462"
"Pelosi Nancy (D-CA)","California","$8118469"
"Hensarling Jeb (R-TX)","Texas","$8057024"
"Santorum Rick (R)","","$8040903"
"Crapo Mike (R-ID)","Idaho","$8040627"
"Isakson Johnny (R-GA)","Georgia","$8037141"
"Hill French (R-AR)","Arkansas","$8031616"
"Schiff Adam (D-CA)","California","$7913462"
"Gardner Cory (R-CO)","Colorado","$7888240"
"Royce Ed (R-CA)","California","$7885063"
"Rosen Jacky (D-NV)","Nevada","$7872818"
"Sessions Pete (R-TX)","Texas","$7834923"
"Wagner Ann (R-MO)","Missouri","$7526285"
"Crowley Joseph (D-NY)","New York","$7520341"
"Lazio Rick A (R-NY)","New York","$7465498"
"Cotton Tom (R-AR)","Arkansas","$7435114"
"Stivers Steve (R-OH)","Ohio","$7401600"
