"Senator","State","Amount"
"Romney Mitt (R-UT)","Utah","$94728560"
"Obama Barack (D)","","$80823263"
"Clinton Hillary (D-NY)","New York","$75762170"
"Biden Joe (D)","","$72036777"
"Harris Kamala (D)","","$58148888"
"McCain John (R-AZ)","Arizona","$43211679"
"Schumer Charles E (D-NY)","New York","$38788107"
"Kerry John (D-MA)","Massachusetts","$23829636"
"McConnell Mitch (R-KY)","Kentucky","$20361879"
"Rubio Marco (R-FL)","Florida","$20009177"
"Cruz Ted (R-TX)","Texas","$18785769"
"Perdue David (R-GA)","Georgia","$17903840"
"Warnock Raphael (D-GA)","Georgia","$16101741"
"Cornyn John (R-TX)","Texas","$16088960"
"Dodd Chris (D-CT)","Connecticut","$15411495"
"Warner Mark (D-VA)","Virginia","$15118530"
"Tester Jon (D-MT)","Montana","$14899311"
"Brown Sherrod (D-OH)","Ohio","$14214425"
"Gillibrand Kirsten (D-NY)","New York","$14012534"
"Graham Lindsey (R-SC)","South Carolina","$13525353"
"Scott Tim (R-SC)","South Carolina","$13477785"
"Casey Bob (D-PA)","Pennsylvania","$12969691"
"Portman Rob (R-OH)","Ohio","$12951509"
"Lieberman Joe (D-CT)","Connecticut","$12673958"
"Menendez Robert (I-NJ)","New Jersey","$12583965"
"Booker Cory (D-NJ)","New Jersey","$12476575"
"Kelly Mark (D-AZ)","Arizona","$12127159"
"Bennet Michael (D-CO)","Colorado","$11877976"
"Sanders Bernie (I-VT)","Vermont","$11824140"
"Toomey Pat (R-PA)","Pennsylvania","$11289112"
"McSally Martha (R-AZ)","Arizona","$10804425"
"Loeffler Kelly (R-GA)","Georgia","$10734015"
"Brown Scott (R-NH)","New Hampshire","$10580562"
"Sinema Kyrsten (I-AZ)","Arizona","$10310290"
"Peters Gary (D-MI)","Michigan","$10245828"
"Thune John (R-SD)","South Dakota","$9990802"
"Wyden Ron (D-OR)","Oregon","$9799755"
"Kirk Mark (R-IL)","Illinois","$9711670"
"Ossoff Jon (D-GA)","Georgia","$9567276"
"Nelson Bill (D-FL)","Florida","$9526042"
"Collins Susan M (R-ME)","Maine","$9313965"
"Tillis Thom (R-NC)","North Carolina","$9282996"
"Johnson Ron (R-WI)","Wisconsin","$8946903"
"Blunt Roy (R-MO)","Missouri","$8573010"
"Kaine Tim (D-VA)","Virginia","$8567444"
"Shelby Richard C (R-AL)","Alabama","$8521806"
"Bradley Bill (D)","","$8490772"
"Klobuchar Amy (D-MN)","Minnesota","$8382913"
"Slotkin Elissa (D-MI)","Michigan","$8335769"
"Young Todd (R-IN)","Indiana","$8277349"
"D'Amato Alfonse M (R-NY)","New York","$8120724"
"Santorum Rick (R)","","$8040903"
"Crapo Mike (R-ID)","Idaho","$8040627"
"Isakson Johnny (R-GA)","Georgia","$8037141"
"Corker Bob (R-TN)","Tennessee","$8033337"
"Schiff Adam (D-CA)","California","$7913462"
"Gardner Cory (R-CO)","Colorado","$7888240"
"Rosen Jacky (D-NV)","Nevada","$7872818"
"Warren Elizabeth (D-MA)","Massachusetts","$7789139"
"McCormick Dave (R-PA)","Pennsylvania","$7519136"
"Specter Arlen (D-PA)","Pennsylvania","$7466812"
"Cotton Tom (R-AR)","Arkansas","$7435114"
"Feinstein Dianne (D-CA)","California","$7279795"
"Hatch Orrin G (R-UT)","Utah","$7243316"
"Alexander Lamar (R-TN)","Tennessee","$7182908"
"McCaskill Claire (D-MO)","Missouri","$7159031"
"Burr Richard (R-NC)","North Carolina","$7067608"
"Murphy Christopher S (D-CT)","Connecticut","$7056505"
"Grassley Chuck (R-IA)","Iowa","$6964758"
"Baldwin Tammy (D-WI)","Wisconsin","$6856413"
"Stabenow Debbie (D-MI)","Michigan","$6737496"
"Cassidy Bill (R-LA)","Louisiana","$6690387"
"Daines Steven (R-MT)","Montana","$6673776"
"Kennedy John (R-LA)","Louisiana","$6610549"
"Cantwell Maria (D-WA)","Washington","$6566293"
"Reid Harry (D-NV)","Nevada","$6486805"
"Blackburn Marsha (R-TN)","Tennessee","$6486557"
"Masto Catherine Cortez (D-NV)","Nevada","$6369500"
"Scott Rick (R-FL)","Florida","$6295300"
"Hassan Maggie (D-NH)","New Hampshire","$6265038"
"Baucus Max (D-MT)","Montana","$6229558"
"Gramm Phil (R-TX)","Texas","$6190060"
"Heller Dean (R-NV)","Nevada","$6105728"
"Bayh Evan (D-IN)","Indiana","$5960353"
"Durbin Dick (D-IL)","Illinois","$5960347"
"Markey Ed (D-MA)","Massachusetts","$5900019"
"Cardin Ben (D-MD)","Maryland","$5853423"
"Allen George (R-VA)","Virginia","$5852049"
"Murray Patty (D-WA)","Washington","$5848494"
"Gore Al (D)","","$5697859"
"Coleman Norm (R-MN)","Minnesota","$5695072"
"Capito Shelley Moore (R-WV)","West Virginia","$5525978"
"Ayotte Kelly (R-NH)","New Hampshire","$5427166"
"Ernst Joni (R-IA)","Iowa","$5420236"
"Hickenlooper John (D-CO)","Colorado","$5405698"
"Jones Doug (D-AL)","Alabama","$5350260"
"Van Hollen Chris (D-MD)","Maryland","$5330468"
"Dole Bob (R)","","$5289342"
"Manchin Joe (D-WV)","West Virginia","$5281583"
"Hutchison Kay Bailey (R-TX)","Texas","$5101122"
"Carper Tom (D-DE)","Delaware","$5086037"
"Shaheen Jeanne (D-NH)","New Hampshire","$5040185"
"Blumenthal Richard (D-CT)","Connecticut","$5010405"
"Landrieu Mary L (D-LA)","Louisiana","$4931034"
"Reed Jack (D-RI)","Rhode Island","$4915017"
"Kyl Jon (R-AZ)","Arizona","$4874771"
"Donnelly Joe (D-IN)","Indiana","$4793440"
"Heitkamp Heidi (D-ND)","North Dakota","$4770344"
"Wicker Roger (R-MS)","Mississippi","$4753606"
"Gallego Ruben (D-AZ)","Arizona","$4678617"
"Barrasso John (R-WY)","Wyoming","$4643435"
"Daschle Tom (D-SD)","South Dakota","$4642838"
"DeWine Mike (R-OH)","Ohio","$4619856"
"Dole Elizabeth (R-NC)","North Carolina","$4588581"
"Paul Rand (R-KY)","Kentucky","$4559657"
"Sullivan Dan (R-AK)","Alaska","$4559365"
"Hagerty Bill (R-TN)","Tennessee","$4512105"
"Edwards John (D)","","$4492986"
"Moran Jerry (R-KS)","Kansas","$4352795"
"Chambliss Saxby (R-GA)","Georgia","$4350810"
"Boxer Barbara (D-CA)","California","$4346209"
"Udall Mark (D-CO)","Colorado","$4302625"
"Lautenberg Frank (D-NJ)","New Jersey","$4300018"
"Kim Andy (D-NJ)","New Jersey","$4239046"
"Kennedy Edward M (D-MA)","Massachusetts","$4184266"
"Whitehouse Sheldon (D-RI)","Rhode Island","$4169432"
"Murkowski Lisa (R-AK)","Alaska","$4141433"
"Johnson Tim (D-SD)","South Dakota","$4112066"
"Sheehy Tim (R-MT)","Montana","$4098233"
"Budd Ted (R-NC)","North Carolina","$4097808"
"Talent James M (R-MO)","Missouri","$3930138"
"Coons Chris (D-DE)","Delaware","$3833580"
"Smith Gordon H (R-OR)","Oregon","$3790418"
"Nelson Ben (D-NE)","Nebraska","$3751011"
"Sununu John E (R-NH)","New Hampshire","$3673095"
"Lee Mike (R-UT)","Utah","$3636716"
"Duckworth Tammy (D-IL)","Illinois","$3614130"
"Bond Christopher ""Kit"" (R-MO)","Missouri","$3607746"
"Moreno Bernie (R-OH)","Ohio","$3572871"
"Martinez Mel (R-FL)","Florida","$3497123"
"Hawley Josh (R-MO)","Missouri","$3466626"
"Feingold Russ (D-WI)","Wisconsin","$3438515"
"Thompson Fred (R)","","$3389350"
"Roberts Pat (R-KS)","Kansas","$3359981"
"Lugar Richard G (R-IN)","Indiana","$3334201"
"Boozman John (R-AR)","Arkansas","$3331893"
"Sasse Ben (R-NE)","Nebraska","$3301994"
"Vitter David (R-LA)","Louisiana","$3285411"
"DeMint Jim (R-SC)","South Carolina","$3237919"
"Lincoln Blanche (D-AR)","Arkansas","$3205621"
"Harkin Tom (D-IA)","Iowa","$3199297"
"Flake Jeff (R-AZ)","Arizona","$3154242"
"Kerrey Bob (D-NE)","Nebraska","$3134383"
"Torricelli Robert G (D-NJ)","New Jersey","$3131553"
"Smith Tina (D-MN)","Minnesota","$3119616"
"Voinovich George V (R-OH)","Ohio","$3112284"
"Rounds Mike (R-SD)","South Dakota","$3061000"
"Sessions Jeff (R-AL)","Alabama","$3050465"
"Fischer Deb (R-NE)","Nebraska","$2980328"
"Hagan Kay R (D-NC)","North Carolina","$2975877"
"Cramer Kevin (R-ND)","North Dakota","$2968618"
"Heinrich Martin (D-NM)","New Mexico","$2948950"
"Levin Carl (D-MI)","Michigan","$2946383"
"Lankford James (R-OK)","Oklahoma","$2914846"
"Conrad Kent (D-ND)","North Dakota","$2869161"
"Fetterman John (D-PA)","Pennsylvania","$2868936"
"Ensign John (R-NV)","Nevada","$2808715"
"Rochester Lisa Blunt (D-DE)","Delaware","$2805298"
"Bennett Robert F (R-UT)","Utah","$2769469"
"Inhofe James M (R-OK)","Oklahoma","$2734876"
"Snowe Olympia (R-ME)","Maine","$2682028"
"Bunning Jim (R-KY)","Kentucky","$2677127"
"Pryor Mark (D-AR)","Arkansas","$2644891"
"Franken Al (D-MN)","Minnesota","$2643558"
"Abraham Spencer (R-MI)","Michigan","$2605787"
"Britt Katie Boyd (R-AL)","Alabama","$2568902"
"Rockefeller Jay (D-WV)","West Virginia","$2553630"
"Schatz Brian (D-HI)","Hawaii","$2471281"
"Graham Bob (D-FL)","Florida","$2397515"
"Vance J D (R-OH)","Ohio","$2309243"
"Lujan Ben Ray (D-NM)","New Mexico","$2234219"
"Salazar Ken (D-CO)","Colorado","$2225931"
"Merkley Jeff (D-OR)","Oregon","$2193469"
