"Representative","State","Amount"
"Sanders Bernie (I-VT)","Vermont","$20425778"
"Brown Sherrod (D-OH)","Ohio","$10360684"
"Pallone Frank Jr (D-NJ)","New Jersey","$9027517"
"Schumer Charles E (D-NY)","New York","$7790391"
"McCarthy Kevin (R-CA)","California","$7454133"
"Cassidy Bill (R-LA)","Louisiana","$7146546"
"Scalise Steve (R-LA)","Louisiana","$6546444"
"Wyden Ron (D-OR)","Oregon","$6056159"
"Hoyer Steny H (D-MD)","Maryland","$5982488"
"Burgess Michael (R-TX)","Texas","$5876354"
"Pelosi Nancy (D-CA)","California","$5788610"
"Graham Lindsey (R-SC)","South Carolina","$5635032"
"Menendez Robert (I-NJ)","New Jersey","$5615665"
"Baldwin Tammy (D-WI)","Wisconsin","$5321201"
"Guthrie Brett (R-KY)","Kentucky","$5198816"
"Blackburn Marsha (R-TN)","Tennessee","$5193138"
"Price Tom (R-GA)","Georgia","$5140568"
"Krishnamoorthi Raja (D-IL)","Illinois","$5034738"
"Burr Richard (R-NC)","North Carolina","$4959058"
"Peters Gary (D-MI)","Michigan","$4900982"
"Upton Fred (R-MI)","Michigan","$4883603"
"Rodgers Cathy McMorris (R-WA)","Washington","$4812224"
"O'Rourke Beto (D)","","$4774022"
"Boehner John (R-OH)","Ohio","$4694383"
"Ryan Paul (R-WI)","Wisconsin","$4645917"
"Eshoo Anna (D-CA)","California","$4552004"
"Neal Richard E (D-MA)","Massachusetts","$4504979"
"Schiff Adam (D-CA)","California","$4504884"
"Ruiz Raul (D-CA)","California","$4469539"
"Blunt Roy (R-MO)","Missouri","$4460808"
"Nelson Bill (D-FL)","Florida","$4443594"
"Stabenow Debbie (D-MI)","Michigan","$4309397"
"Brady Kevin (R-TX)","Texas","$4158137"
"Bera Ami (D-CA)","California","$4012743"
"Johnson Nancy L (R-CT)","Connecticut","$4000641"
"Buchanan Vernon (R-FL)","Florida","$3965203"
"Allred Colin (D-TX)","Texas","$3913129"
"Scott Tim (R-SC)","South Carolina","$3910927"
"Boustany Charles Jr (R-LA)","Louisiana","$3889409"
"Santorum Rick (R)","","$3835018"
"Young Todd (R-IN)","Indiana","$3693749"
"Rosen Jacky (D-NV)","Nevada","$3655374"
"Bilirakis Gus (R-FL)","Florida","$3563645"
"Gingrey Phil (R-GA)","Georgia","$3538883"
"Walden Greg (R-OR)","Oregon","$3515084"
"Sessions Pete (R-TX)","Texas","$3415850"
"Kind Ron (D-WI)","Wisconsin","$3365894"
"Thune John (R-SD)","South Dakota","$3353810"
"Portman Rob (R-OH)","Ohio","$3351622"
"Toomey Pat (R-PA)","Pennsylvania","$3346730"
"McSally Martha (R-AZ)","Arizona","$3333613"
"Cardin Ben (D-MD)","Maryland","$3316216"
"Camp Dave (R-MI)","Michigan","$3302366"
"Cantor Eric (R-VA)","Virginia","$3247423"
"Harris Andy (R-MD)","Maryland","$3243719"
"Kirk Mark (R-IL)","Illinois","$3209209"
"Thompson Mike (D-CA)","California","$3169803"
"Clyburn James E (D-SC)","South Carolina","$3154162"
"Bucshon Larry (R-IN)","Indiana","$3122272"
"Gallego Ruben (D-AZ)","Arizona","$3058076"
"Shimkus John (R-IL)","Illinois","$3048212"
"Carter Buddy (R-GA)","Georgia","$3036252"
"Paulsen Erik (R-MN)","Minnesota","$3027741"
"Tiberi Pat (R-OH)","Ohio","$3023005"
"Rangel Charles B (D-NY)","New York","$3015291"
"DeGette Diana (D-CO)","Colorado","$3009086"
"Gillibrand Kirsten (D-NY)","New York","$3002167"
"Roskam Peter (R-IL)","Illinois","$2998968"
"Murphy Christopher S (D-CT)","Connecticut","$2992345"
"Durbin Dick (D-IL)","Illinois","$2988457"
"Barton Joe (R-TX)","Texas","$2966594"
"Sinema Kyrsten (I-AZ)","Arizona","$2863193"
"Schrier Kim (D-WA)","Washington","$2852913"
"Slotkin Elissa (D-MI)","Michigan","$2839306"
"Paul Ron (R)","","$2825760"
"Peters Scott (D-CA)","California","$2813469"
"Nunes Devin (R-CA)","California","$2806063"
"Pascrell Bill Jr (D-NJ)","New Jersey","$2802742"
"Van Hollen Chris (D-MD)","Maryland","$2734715"
