"Senator","State","Amount"
"Romney Mitt (R-UT)","Utah","$8829720"
"Cruz Ted (R-TX)","Texas","$5609514"
"Cornyn John (R-TX)","Texas","$5186928"
"McCain John (R-AZ)","Arizona","$3910832"
"McConnell Mitch (R-KY)","Kentucky","$3088495"
"Obama Barack (D)","","$2485094"
"Hutchison Kay Bailey (R-TX)","Texas","$2415654"
"Inhofe James M (R-OK)","Oklahoma","$2366485"
"Gardner Cory (R-CO)","Colorado","$2142182"
"Murkowski Lisa (R-AK)","Alaska","$2072399"
"Barrasso John (R-WY)","Wyoming","$1937859"
"Cassidy Bill (R-LA)","Louisiana","$1902098"
"Gramm Phil (R-TX)","Texas","$1896886"
"Clinton Hillary (D-NY)","New York","$1859199"
"Lankford James (R-OK)","Oklahoma","$1842061"
"Biden Joe (D)","","$1835731"
"Landrieu Mary L (D-LA)","Louisiana","$1800940"
"Rubio Marco (R-FL)","Florida","$1762314"
"Cramer Kevin (R-ND)","North Dakota","$1748845"
"Kennedy John (R-LA)","Louisiana","$1704603"
"Perdue David (R-GA)","Georgia","$1628459"
"Harris Kamala (D)","","$1481353"
"Vitter David (R-LA)","Louisiana","$1425207"
"Daines Steven (R-MT)","Montana","$1363661"
"Mullin Markwayne (R-OK)","Oklahoma","$1329331"
"Wicker Roger (R-MS)","Mississippi","$1318322"
"Blunt Roy (R-MO)","Missouri","$1230109"
"Capito Shelley Moore (R-WV)","West Virginia","$1188427"
"Thune John (R-SD)","South Dakota","$1181503"
"Manchin Joe (D-WV)","West Virginia","$1156006"
"Loeffler Kelly (R-GA)","Georgia","$1151082"
"Blackburn Marsha (R-TN)","Tennessee","$1151017"
"Portman Rob (R-OH)","Ohio","$1125756"
"Toomey Pat (R-PA)","Pennsylvania","$1114492"
"Cotton Tom (R-AR)","Arkansas","$1072465"
"McSally Martha (R-AZ)","Arizona","$1064424"
"Scott Tim (R-SC)","South Carolina","$1034428"
"Hoeven John (R-ND)","North Dakota","$1015583"
"Johnson Ron (R-WI)","Wisconsin","$1008146"
"Sullivan Dan (R-AK)","Alaska","$971870"
"Burr Richard (R-NC)","North Carolina","$930691"
"Nickles Don (R-OK)","Oklahoma","$926152"
"Dole Bob (R)","","$924437"
"Graham Lindsey (R-SC)","South Carolina","$923099"
"Moran Jerry (R-KS)","Kansas","$889055"
"Sheehy Tim (R-MT)","Montana","$887744"
"Roberts Pat (R-KS)","Kansas","$885550"
"Hatch Orrin G (R-UT)","Utah","$867561"
"Domenici Pete V (R-NM)","New Mexico","$854242"
"Young Todd (R-IN)","Indiana","$829499"
"Allen George (R-VA)","Virginia","$813391"
"Santorum Rick (R)","","$811081"
"Tillis Thom (R-NC)","North Carolina","$804168"
"Lincoln Blanche (D-AR)","Arkansas","$803344"
"Crapo Mike (R-ID)","Idaho","$747709"
